Log Template,Number of Occurrences
[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Terminating instance,1
[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Deleting instance files /var/lib/nova/instances/17288ea8-cbf4-4f0e-94fe-853fd2735f29_del,1
[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Deletion of /var/lib/nova/instances/17288ea8-cbf4-4f0e-94fe-853fd2735f29_del complete,1
[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Took 0.57 seconds to deallocate network for instance.,1
"[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Total disk: 15 GB, used: 0.00 GB",1
"[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] <*> limit not specified, defaulting to unlimited",2
"[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Claim successful,1
[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Creating image,1
[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] VM <*> (Lifecycle Event),5
[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:1bb8c7a3-effa-4568-8cf7-2b9a55011df9 for instance 70c1714b-c11b-4c88-b300-239afe1f5ff8,1
[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Instance <*> successfully.,2
[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Took 20.83 seconds to build instance.,1
[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Terminating instance,1
[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Deleting instance files /var/lib/nova/instances/70c1714b-c11b-4c88-b300-239afe1f5ff8_del,1
[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Deletion of /var/lib/nova/instances/70c1714b-c11b-4c88-b300-239afe1f5ff8_del complete,1
[instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] Took 0.47 seconds to deallocate network for instance.,1
"[instance: bf8c824d-f099-4433-a41e-e3da7578262e] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: bf8c824d-f099-4433-a41e-e3da7578262e] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: bf8c824d-f099-4433-a41e-e3da7578262e] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: bf8c824d-f099-4433-a41e-e3da7578262e] Total disk: 15 GB, used: 0.00 GB",1
"[instance: bf8c824d-f099-4433-a41e-e3da7578262e] <*> limit not specified, defaulting to unlimited",2
"[instance: bf8c824d-f099-4433-a41e-e3da7578262e] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: bf8c824d-f099-4433-a41e-e3da7578262e] Claim successful,1
[instance: bf8c824d-f099-4433-a41e-e3da7578262e] Creating image,1
"While synchronizing instance power states, found 1 instances in the database and 0 instances on the hypervisor.",1
[instance: bf8c824d-f099-4433-a41e-e3da7578262e] VM <*> (Lifecycle Event),5
[instance: bf8c824d-f099-4433-a41e-e3da7578262e] During sync_power_state the instance has a pending task (spawning). Skip.,3
Creating event network-vif-plugged:5c0b217a-68a9-46d1-8936-23c5688aa673 for instance bf8c824d-f099-4433-a41e-e3da7578262e,1
[instance: bf8c824d-f099-4433-a41e-e3da7578262e] Instance <*> successfully.,2
[instance: bf8c824d-f099-4433-a41e-e3da7578262e] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: bf8c824d-f099-4433-a41e-e3da7578262e] Took 20.31 seconds to build instance.,1
[instance: bf8c824d-f099-4433-a41e-e3da7578262e] Terminating instance,1
[instance: bf8c824d-f099-4433-a41e-e3da7578262e] Deleting instance files /var/lib/nova/instances/bf8c824d-f099-4433-a41e-e3da7578262e_del,1
[instance: bf8c824d-f099-4433-a41e-e3da7578262e] Deletion of /var/lib/nova/instances/bf8c824d-f099-4433-a41e-e3da7578262e_del complete,1
[instance: bf8c824d-f099-4433-a41e-e3da7578262e] Took 0.53 seconds to deallocate network for instance.,1
"[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Total disk: 15 GB, used: 0.00 GB",1
"[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] <*> limit not specified, defaulting to unlimited",2
"[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Claim successful,1
[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Creating image,1
[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] VM <*> (Lifecycle Event),5
[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:418c107f-95d6-4655-ae6b-90bca57d9a71 for instance be793e89-2cc3-4f99-9884-9c6a624a84bc,1
[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Instance <*> successfully.,2
[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Took 19.97 seconds to build instance.,1
[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Terminating instance,1
[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Deleting instance files /var/lib/nova/instances/be793e89-2cc3-4f99-9884-9c6a624a84bc_del,1
[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Deletion of /var/lib/nova/instances/be793e89-2cc3-4f99-9884-9c6a624a84bc_del complete,1
[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Took 0.46 seconds to deallocate network for instance.,1
"[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] Total disk: 15 GB, used: 0.00 GB",1
"[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] <*> limit not specified, defaulting to unlimited",2
"[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] Claim successful,1
[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] Creating image,1
[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] VM <*> (Lifecycle Event),5
[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] During sync_power_state the instance has a pending task (spawning). Skip.,1
Creating event network-vif-plugged:72791ba0-33ef-44f2-9d88-d7c8f313cb46 for instance a015cf14-84bb-4156-a48d-7c4824ac7a9d,1
[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] Instance <*> successfully.,2
[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] Took 21.08 seconds to build instance.,1
[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] Terminating instance,1
[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] Deleting instance files /var/lib/nova/instances/a015cf14-84bb-4156-a48d-7c4824ac7a9d_del,1
[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] Deletion of /var/lib/nova/instances/a015cf14-84bb-4156-a48d-7c4824ac7a9d_del complete,1
[instance: a015cf14-84bb-4156-a48d-7c4824ac7a9d] Took 0.57 seconds to deallocate network for instance.,1
"[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: d96a117b-0193-4549-bdcc-63b917273d1d] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Total disk: 15 GB, used: 0.00 GB",1
"[instance: d96a117b-0193-4549-bdcc-63b917273d1d] <*> limit not specified, defaulting to unlimited",2
"[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Claim successful,1
[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Creating image,1
[instance: d96a117b-0193-4549-bdcc-63b917273d1d] VM <*> (Lifecycle Event),5
[instance: d96a117b-0193-4549-bdcc-63b917273d1d] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:a444c98d-73cb-4ef8-b9c8-dbc1c4a7bd5c for instance d96a117b-0193-4549-bdcc-63b917273d1d,1
[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Instance <*> successfully.,2
[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Took 20.55 seconds to build instance.,1
[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Terminating instance,1
[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Deleting instance files /var/lib/nova/instances/d96a117b-0193-4549-bdcc-63b917273d1d_del,1
[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Deletion of /var/lib/nova/instances/d96a117b-0193-4549-bdcc-63b917273d1d_del complete,1
[instance: d96a117b-0193-4549-bdcc-63b917273d1d] Took 0.45 seconds to deallocate network for instance.,1
"[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] Total disk: 15 GB, used: 0.00 GB",1
"[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] <*> limit not specified, defaulting to unlimited",2
"[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] Claim successful,1
[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] Creating image,1
[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] VM <*> (Lifecycle Event),5
[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:0b72aca0-102e-4421-8ff3-2902d8353ff0 for instance d6b7bd36-2943-4363-9235-fffdd89ea40e,1
[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] Instance <*> successfully.,2
[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] Took 20.05 seconds to build instance.,1
[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] Terminating instance,1
[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] Deleting instance files /var/lib/nova/instances/d6b7bd36-2943-4363-9235-fffdd89ea40e_del,1
[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] Deletion of /var/lib/nova/instances/d6b7bd36-2943-4363-9235-fffdd89ea40e_del complete,1
[instance: d6b7bd36-2943-4363-9235-fffdd89ea40e] Took 0.45 seconds to deallocate network for instance.,1
"[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] Total disk: 15 GB, used: 0.00 GB",1
"[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] <*> limit not specified, defaulting to unlimited",2
"[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] Claim successful,1
[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] Creating image,1
[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] VM <*> (Lifecycle Event),5
[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:b25f912d-d8bd-4332-b55f-8e244fe36c7c for instance 127e769a-4fe6-4548-93b1-513ac51e0452,1
[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] Instance <*> successfully.,2
[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] Took 21.05 seconds to build instance.,1
[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] Terminating instance,1
[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] Deleting instance files /var/lib/nova/instances/127e769a-4fe6-4548-93b1-513ac51e0452_del,1
[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] Deletion of /var/lib/nova/instances/127e769a-4fe6-4548-93b1-513ac51e0452_del complete,1
[instance: 127e769a-4fe6-4548-93b1-513ac51e0452] Took 0.47 seconds to deallocate network for instance.,1
"[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Total disk: 15 GB, used: 0.00 GB",1
"[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] <*> limit not specified, defaulting to unlimited",2
"[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Claim successful,1
[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Creating image,1
[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] VM <*> (Lifecycle Event),5
[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:b73a8d80-ce9e-49ff-bb0d-a1b8571f5e26 for instance c62f4f25-982c-4ea2-b5e4-93000edfcfbf,1
[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Instance <*> successfully.,2
[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Took 20.79 seconds to build instance.,1
[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Terminating instance,1
[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Deleting instance files /var/lib/nova/instances/c62f4f25-982c-4ea2-b5e4-93000edfcfbf_del,1
[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Deletion of /var/lib/nova/instances/c62f4f25-982c-4ea2-b5e4-93000edfcfbf_del complete,1
[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Took 0.58 seconds to deallocate network for instance.,1
"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Total disk: 15 GB, used: 0.00 GB",1
"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] <*> limit not specified, defaulting to unlimited",2
"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Claim successful,1
[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Creating image,1
[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] VM <*> (Lifecycle Event),4
[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:1771f0af-aae8-4b03-97c9-a7bc9c5e4bb7 for instance faf974ea-cba5-4e1b-93f4-3a3bc606006f,1
[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Instance <*> successfully.,2
[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Took 19.47 seconds to spawn the instance on the hypervisor.,1
[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Took 20.22 seconds to build instance.,1
[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Terminating instance,1
